id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
2521,https://arena.nafc.org.au/resource/api/ext/aircraft/2521,HELICOPTER,SIKORSKY AIRCRAFT,UH-60A,RotType1,RW - Type 1 Heavy,HELITAK 679,ZK-HKU,374,Kahu NZ
1445,https://arena.nafc.org.au/resource/api/ext/aircraft/1445,HELICOPTER,SIKORSKY AIRCRAFT,S64E,RotType1,RW - Type 1 Heavy,HELITAK 730,N189AC,17,Kestrel Aviation P/L
541,https://arena.nafc.org.au/resource/api/ext/aircraft/541,HELICOPTER,SIKORSKY AIRCRAFT,S64E,RotType1,RW - Type 1 Heavy,HELITAK 733,N154AC,17,Kestrel Aviation P/L
540,https://arena.nafc.org.au/resource/api/ext/aircraft/540,HELICOPTER,SIKORSKY AIRCRAFT,S64E,RotType1,RW - Type 1 Heavy,HELITAK 734,N218AC,17,Kestrel Aviation P/L
1773,https://arena.nafc.org.au/resource/api/ext/aircraft/1773,HELICOPTER,SIKORSKY AIRCRAFT,S64E,RotType1,RW - Type 1 Heavy,HELITAK 739,N247AC,17,Kestrel Aviation P/L
2491,https://arena.nafc.org.au/resource/api/ext/aircraft/2491,HELICOPTER,EUROCOPTER DEUTSCHLAND GMBH,MBB - BK 117 B-2,RotType2,RW - Type 2 Medium,HELITAK 750,VH-ATZ,173,Rotorlift Pty Ltd
18,https://arena.nafc.org.au/resource/api/ext/aircraft/18,HELICOPTER,GARLICK HELICOPTERS INC,UH-1B,RotType2,RW - Type 2 Medium,HELITAK 776,VH-DHY,12,BlanchAir Pty Ltd
827,https://arena.nafc.org.au/resource/api/ext/aircraft/827,HELICOPTER,GARLICK HELICOPTERS INC,UH-1B,RotType2,RW - Type 2 Medium,HELITAK 776,VH-DHY,152,Rotorwing Helicopters Pty. Ltd.
1600,https://arena.nafc.org.au/resource/api/ext/aircraft/1600,HELICOPTER,GARLICK HELICOPTERS INC,UH-1B,RotType2,RW - Type 2 Medium,HELITAK 776,VH-DHY,30,Tasmanian Helicopters Pty Ltd
1521,https://arena.nafc.org.au/resource/api/ext/aircraft/1521,HELICOPTER,BELL HELICOPTER TEXTRON,212,RotType2,RW - Type 2 Medium,HELITAK 777,VH-NVN,340,SMOKEY AVIATION PTY LTD
1841,https://arena.nafc.org.au/resource/api/ext/aircraft/1841,HELICOPTER,BELL HELICOPTER TEXTRON,212,RotType2,RW - Type 2 Medium,HELITAK 777,VH-NVN,155,Helicopter Resources pty ltd
2143,https://arena.nafc.org.au/resource/api/ext/aircraft/2143,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,HEM-(BK),ZK-HEM,468,Heli Otago
2154,https://arena.nafc.org.au/resource/api/ext/aircraft/2154,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,HEN-(B3),ZK-HEN,473,Heliventures NZ Limited
2018,https://arena.nafc.org.au/resource/api/ext/aircraft/2018,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HFA-(B2),ZK-HFA,434,Mid West Helicopters
2213,https://arena.nafc.org.au/resource/api/ext/aircraft/2213,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HFF-(B2),ZK-HFF,496,Wanaka Helicopters Limited
