id,url,airframe,make,model,category,categoryReadable,callsign,registration,operatorId,operatorName
2072,https://arena.nafc.org.au/resource/api/ext/aircraft/2072,HELICOPTER,BELL HELICOPTER CO,206L-1,RotType3,RW - Type 3 Light,HVR-(LR),ZK-HVR,450,Ahaura Helicopters Ltd
2230,https://arena.nafc.org.au/resource/api/ext/aircraft/2230,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,600N,RotType3,RW - Type 3 Light,HVW-(600N),ZK-HVW,501,Southland Helicopters Limited
2152,https://arena.nafc.org.au/resource/api/ext/aircraft/2152,HELICOPTER,HUGHES HELICOPTERS,369E,RotType3,RW - Type 3 Light,HWB-(500),ZK-HWB,472,Heli Sika Limited
2374,https://arena.nafc.org.au/resource/api/ext/aircraft/2374,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,HWH-(520N),ZK-HWH,552,Opotiki Helicopters
2141,https://arena.nafc.org.au/resource/api/ext/aircraft/2141,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HWI-(JR),ZK-HWI,468,Heli Otago
2136,https://arena.nafc.org.au/resource/api/ext/aircraft/2136,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HWK-(JR),ZK-HWK,468,Heli Otago
2898,https://arena.nafc.org.au/resource/api/ext/aircraft/2898,HELICOPTER,BELL HELICOPTER CO,206L-3,RotType3,RW - Type 3 Light,HWL-(LR),ZK-HWL,620,Helicopter Charter Karamea
2137,https://arena.nafc.org.au/resource/api/ext/aircraft/2137,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HWN-(JR),ZK-HWN,468,Heli Otago
2140,https://arena.nafc.org.au/resource/api/ext/aircraft/2140,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HWQ-(JR),ZK-HWQ,468,Heli Otago
2197,https://arena.nafc.org.au/resource/api/ext/aircraft/2197,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,HWW-(B3),ZK-HWW,492,Skywork Helicopters Limited
2123,https://arena.nafc.org.au/resource/api/ext/aircraft/2123,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HXX-(500),ZK-HXX,465,Helicharter Nelson
2059,https://arena.nafc.org.au/resource/api/ext/aircraft/2059,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HXZ-(500),ZK-HXZ,444,Way to Go Heliservices
2049,https://arena.nafc.org.au/resource/api/ext/aircraft/2049,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HYA-(B2),ZK-HYA,440,Heli Glenorchy/Heliworks Queenstown
2847,https://arena.nafc.org.au/resource/api/ext/aircraft/2847,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HYA-(B2),ZK-HYA,559,Fiordland Helicopters Ltd
2019,https://arena.nafc.org.au/resource/api/ext/aircraft/2019,HELICOPTER,HUGHES HELICOPTERS,369E,RotType3,RW - Type 3 Light,HYK-(369),ZK-HYK,434,Mid West Helicopters
2067,https://arena.nafc.org.au/resource/api/ext/aircraft/2067,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HYM-(B2),ZK-HYM,448,Te Anau Helicopter Services Ltd
2078,https://arena.nafc.org.au/resource/api/ext/aircraft/2078,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HYW-(B2),ZK-HYW,452,Alpine Helicopters
2052,https://arena.nafc.org.au/resource/api/ext/aircraft/2052,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,HZD-(FX2),ZK-HZD,441,Helicopter Services (BOP) Limited
2615,https://arena.nafc.org.au/resource/api/ext/aircraft/2615,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,HZE-(JR),ZK-HZE,576,Marlborough Helicopters
2559,https://arena.nafc.org.au/resource/api/ext/aircraft/2559,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,HZG-(520N),ZK-HZG,434,Mid West Helicopters
2923,https://arena.nafc.org.au/resource/api/ext/aircraft/2923,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,HZG-(520N),ZK-HZG,444,Way to Go Heliservices
2151,https://arena.nafc.org.au/resource/api/ext/aircraft/2151,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,HZJ-(B2),ZK-HZJ,472,Heli Sika Limited
2161,https://arena.nafc.org.au/resource/api/ext/aircraft/2161,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,HZP-(500),ZK-HZP,476,Lister Helicopters Limited
2535,https://arena.nafc.org.au/resource/api/ext/aircraft/2535,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HZR-(500),ZK-HZR,436,Coast to Coast Helicopters 2013 Ltd
2587,https://arena.nafc.org.au/resource/api/ext/aircraft/2587,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HZR-(500),ZK-HZR,446,Country Helicopters Limited
2231,https://arena.nafc.org.au/resource/api/ext/aircraft/2231,HELICOPTER,BELL HELICOPTER CO,UH-1H,RotType2,RW - Type 2 Medium,HZX-(UH-1),ZK-HZX,502,Heli Resources 2012 Limited
2153,https://arena.nafc.org.au/resource/api/ext/aircraft/2153,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,HZY-(500),ZK-HZY,472,Heli Sika Limited
2748,https://arena.nafc.org.au/resource/api/ext/aircraft/2748,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D,RotType3,RW - Type 3 Light,HZY-(500),ZK-HZY,587,Wairoa Helicopters Ltd
2200,https://arena.nafc.org.au/resource/api/ext/aircraft/2200,HELICOPTER,EUROCOPTER FRANCE,AS.355N,RotType3,RW - Type 3 Light,HZZ-(355 TW),ZK-HZZ,492,Skywork Helicopters Limited
2429,https://arena.nafc.org.au/resource/api/ext/aircraft/2429,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,IAE-(B3),ZK-IAE,433,Lakeview Helicopters
2242,https://arena.nafc.org.au/resource/api/ext/aircraft/2242,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IAG-(B2),ZK-IAG,504,Kapiti Heliworx Limited
2547,https://arena.nafc.org.au/resource/api/ext/aircraft/2547,HELICOPTER,AEROSPATIALE INDUSTRIES,AS.355F1,RotType3,RW - Type 3 Light,IAV-(355),ZK-IAV,565,Nelson Tasman Air & Inflite Charters
2209,https://arena.nafc.org.au/resource/api/ext/aircraft/2209,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,IBK-(BK),ZK-IBK,494,Southern Lakes Helicopters Limited
2221,https://arena.nafc.org.au/resource/api/ext/aircraft/2221,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IBQ-(BA),ZK-IBQ,498,Wairarapa Helicopters Limited
2206,https://arena.nafc.org.au/resource/api/ext/aircraft/2206,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IBR-(B3),ZK-IBR,494,Southern Lakes Helicopters Limited
2856,https://arena.nafc.org.au/resource/api/ext/aircraft/2856,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,IBU-(JR),ZK-IBU,433,Lakeview Helicopters
2233,https://arena.nafc.org.au/resource/api/ext/aircraft/2233,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IBW-(B3),ZK-IBW,502,Heli Resources 2012 Limited
2069,https://arena.nafc.org.au/resource/api/ext/aircraft/2069,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,ICD-(B2),ZK-ICD,449,The Helicopter Line
2622,https://arena.nafc.org.au/resource/api/ext/aircraft/2622,HELICOPTER,EUROCOPTER,AS355NP,RotType3,RW - Type 3 Light,ICE-(355),ZK-ICE,440,Heli Glenorchy/Heliworks Queenstown
2581,https://arena.nafc.org.au/resource/api/ext/aircraft/2581,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,ICR-(B2),ZK-ICR,464,Heli Ag Limited
2372,https://arena.nafc.org.au/resource/api/ext/aircraft/2372,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,ICY-(BK),ZK-ICY,550,Over The Top - The Helicopter Company
2207,https://arena.nafc.org.au/resource/api/ext/aircraft/2207,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IDE-(B3),ZK-IDE,494,Southern Lakes Helicopters Limited
2575,https://arena.nafc.org.au/resource/api/ext/aircraft/2575,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IDF-(B3),ZK-IDF,440,Heli Glenorchy/Heliworks Queenstown
2935,https://arena.nafc.org.au/resource/api/ext/aircraft/2935,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,IDF-(B3),ZK-IDF,629,Ultimate Hikes
2179,https://arena.nafc.org.au/resource/api/ext/aircraft/2179,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,IDG-(JR),ZK-IDG,485,Rangitikei Helicopters Limited
2777,https://arena.nafc.org.au/resource/api/ext/aircraft/2777,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IDI-(B2),ZK-IDI,434,Mid West Helicopters
2582,https://arena.nafc.org.au/resource/api/ext/aircraft/2582,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,IDK-(FX2),ZK-IDK,532,Helisika Helicopters
2070,https://arena.nafc.org.au/resource/api/ext/aircraft/2070,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IDM-(B2),ZK-IDM,449,The Helicopter Line
2238,https://arena.nafc.org.au/resource/api/ext/aircraft/2238,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IDQ-(B3),ZK-IDQ,503,High Country Helicopters Limited
2880,https://arena.nafc.org.au/resource/api/ext/aircraft/2880,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IDR-(B2),ZK-IDR,443,Tararua Heliwork Limited
2174,https://arena.nafc.org.au/resource/api/ext/aircraft/2174,HELICOPTER,HUGHES HELICOPTERS,369E,RotType3,RW - Type 3 Light,IDS-(500),ZK-IDS,482,Precision Helicopters NZ Limited
2040,https://arena.nafc.org.au/resource/api/ext/aircraft/2040,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,IDT-(B3),ZK-IDT,438,Glacier Southern Lakes Helicopters
2829,https://arena.nafc.org.au/resource/api/ext/aircraft/2829,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,IDV-(500),ZK-IDV,466,Helicopters Hawkes Bay
2045,https://arena.nafc.org.au/resource/api/ext/aircraft/2045,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,IDW-(B2),ZK-IDW,439,Precision Helicopters	 PHL
2568,https://arena.nafc.org.au/resource/api/ext/aircraft/2568,HELICOPTER,SCHWEIZER AIRCRAFT CORP,269C,RotType4,RW - Type 4 Extra Light,IED-(300),ZK-IED,473,Heliventures NZ Limited
2082,https://arena.nafc.org.au/resource/api/ext/aircraft/2082,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,IEG-(520N),ZK-IEG,453,Amuri Helicopters Limited
2228,https://arena.nafc.org.au/resource/api/ext/aircraft/2228,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,500N,RotType3,RW - Type 3 Light,IEK-(500),ZK-IEK,501,Southland Helicopters Limited
2510,https://arena.nafc.org.au/resource/api/ext/aircraft/2510,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,IEN-(520N),ZK-IEN,473,Heliventures NZ Limited
2055,https://arena.nafc.org.au/resource/api/ext/aircraft/2055,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IEP-(B2),ZK-IEP,443,Tararua Heliwork Limited
2540,https://arena.nafc.org.au/resource/api/ext/aircraft/2540,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,IEQ-(FX2),ZK-IEQ,565,Nelson Tasman Air & Inflite Charters
2876,https://arena.nafc.org.au/resource/api/ext/aircraft/2876,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,IEQ-(FX2),ZK-IEQ,493,South Pacific Helicopters/Wings over Whales
2155,https://arena.nafc.org.au/resource/api/ext/aircraft/2155,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IER-(B2),ZK-IER,473,Heliventures NZ Limited
2156,https://arena.nafc.org.au/resource/api/ext/aircraft/2156,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,IES-(520N),ZK-IES,473,Heliventures NZ Limited
2511,https://arena.nafc.org.au/resource/api/ext/aircraft/2511,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,IET-(520N),ZK-IET,473,Heliventures NZ Limited
2538,https://arena.nafc.org.au/resource/api/ext/aircraft/2538,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,IEV-(FX2),ZK-IEV,453,Amuri Helicopters Limited
2555,https://arena.nafc.org.au/resource/api/ext/aircraft/2555,HELICOPTER,EUROCOPTER,EC 130 B4,RotType3,RW - Type 3 Light,IEX-(EC130),ZK-IEX,461,GCH Aviation
2539,https://arena.nafc.org.au/resource/api/ext/aircraft/2539,HELICOPTER,AEROSPATIALE INDUSTRIES,AS350 FX2,RotType3,RW - Type 3 Light,IEY-(FX2),ZK-IEY,565,Nelson Tasman Air & Inflite Charters
2085,https://arena.nafc.org.au/resource/api/ext/aircraft/2085,HELICOPTER,BELL HELICOPTER CO,206L-3,RotType3,RW - Type 3 Light,IFA-(LR),ZK-IFA,454,Anderson Helicopters Limited
2058,https://arena.nafc.org.au/resource/api/ext/aircraft/2058,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IFI-(B2),ZK-IFI,444,Way to Go Heliservices
2864,https://arena.nafc.org.au/resource/api/ext/aircraft/2864,HELICOPTER,KAWASAKI HEAVY INDUSTRIES	 LTD.,BK117 B-2,RotType2,RW - Type 2 Medium,IFO-(BK),ZK-IFO,532,Helisika Helicopters
2879,https://arena.nafc.org.au/resource/api/ext/aircraft/2879,HELICOPTER,MESSERSCHMITT-BOLKOW-BLOHM,BK117 B-2,RotType2,RW - Type 2 Medium,IFO-(BK),ZK-IFO,461,GCH Aviation
2203,https://arena.nafc.org.au/resource/api/ext/aircraft/2203,HELICOPTER,EUROCOPTER,EC 120 B,RotType3,RW - Type 3 Light,IFR-(EC120),ZK-IFR,493,South Pacific Helicopters/Wings over Whales
2020,https://arena.nafc.org.au/resource/api/ext/aircraft/2020,HELICOPTER,HUGHES HELICOPTERS,369E,RotType3,RW - Type 3 Light,IFS-(369),ZK-IFS,434,Mid West Helicopters
2527,https://arena.nafc.org.au/resource/api/ext/aircraft/2527,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IFX-(BA),ZK-IFX,494,Southern Lakes Helicopters Limited
2106,https://arena.nafc.org.au/resource/api/ext/aircraft/2106,HELICOPTER,EUROCOPTER,EC130B4,RotType3,RW - Type 3 Light,IGF-(EC130),ZK-IGF,461,GCH Aviation
2635,https://arena.nafc.org.au/resource/api/ext/aircraft/2635,HELICOPTER,AIRBUS HELICOPTERS,EC145,RotType2,RW - Type 2 Medium,IGI-(H145),ZK-IGI,461,GCH Aviation
2369,https://arena.nafc.org.au/resource/api/ext/aircraft/2369,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IGO-(BA),ZK-IGO,550,Over The Top - The Helicopter Company
2144,https://arena.nafc.org.au/resource/api/ext/aircraft/2144,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,IGT-(JR),ZK-IGT,469,Helicopters South Canterbury 2015 Limited
2852,https://arena.nafc.org.au/resource/api/ext/aircraft/2852,HELICOPTER,EUROCOPTER,EC130B4,RotType3,RW - Type 3 Light,IGW-(EC130),ZK-IGW,565,Nelson Tasman Air & Inflite Charters
2556,https://arena.nafc.org.au/resource/api/ext/aircraft/2556,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,IHH-(500),ZK-IHH,564,Backcountry Helicopters
2105,https://arena.nafc.org.au/resource/api/ext/aircraft/2105,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IHL-(B3),ZK-IHL,461,GCH Aviation
2063,https://arena.nafc.org.au/resource/api/ext/aircraft/2063,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IIC-(B2),ZK-IIC,374,Kahu NZ
2119,https://arena.nafc.org.au/resource/api/ext/aircraft/2119,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,IIE-(500),ZK-IIE,463,Amalgamated Helicopters NZ LTD
2118,https://arena.nafc.org.au/resource/api/ext/aircraft/2118,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER SYSTEMS,600N,RotType3,RW - Type 3 Light,IJD-(600N),ZK-IJD,463,Amalgamated Helicopters NZ LTD
2125,https://arena.nafc.org.au/resource/api/ext/aircraft/2125,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IJG-(BA),ZK-IJG,466,Helicopters Hawkes Bay
2193,https://arena.nafc.org.au/resource/api/ext/aircraft/2193,HELICOPTER,BELL HELICOPTER CO,206L-3,RotType3,RW - Type 3 Light,IJH-(LR),ZK-IJH,490,Salt Air Limited
2054,https://arena.nafc.org.au/resource/api/ext/aircraft/2054,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IKA-(B3),ZK-IKA,442,Murchison Heli Tours Limited
2225,https://arena.nafc.org.au/resource/api/ext/aircraft/2225,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IKJ-(B3),ZK-IKJ,499,Volcanic Air
2940,https://arena.nafc.org.au/resource/api/ext/aircraft/2940,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,IKL-(500),ZK-IKL,549,MacKenzie Helicopters Limited
2192,https://arena.nafc.org.au/resource/api/ext/aircraft/2192,HELICOPTER,BELL HELICOPTER CO,206L-3,RotType3,RW - Type 3 Light,ILM-(LR),ZK-ILM,490,Salt Air Limited
2044,https://arena.nafc.org.au/resource/api/ext/aircraft/2044,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,ILN-(B2),ZK-ILN,439,Precision Helicopters	 PHL
2042,https://arena.nafc.org.au/resource/api/ext/aircraft/2042,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,ILO-(B3),ZK-ILO,438,Glacier Southern Lakes Helicopters
2017,https://arena.nafc.org.au/resource/api/ext/aircraft/2017,HELICOPTER,BELL HELICOPTER CO,UH-1H,RotType2,RW - Type 2 Medium,ILV-(UH-1),ZK-ILV,433,Lakeview Helicopters
2794,https://arena.nafc.org.au/resource/api/ext/aircraft/2794,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,ILW-(BA),ZK-ILW,442,Murchison Heli Tours Limited
2132,https://arena.nafc.org.au/resource/api/ext/aircraft/2132,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,IME-(BK),ZK-IME,468,Heli Otago
2043,https://arena.nafc.org.au/resource/api/ext/aircraft/2043,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,IMJ-(B2),ZK-IMJ,439,Precision Helicopters	 PHL
2557,https://arena.nafc.org.au/resource/api/ext/aircraft/2557,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IMK-(BA),ZK-IMK,461,GCH Aviation
2212,https://arena.nafc.org.au/resource/api/ext/aircraft/2212,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,IML-(520N),ZK-IML,495,Wyndon Aviation Limited
2658,https://arena.nafc.org.au/resource/api/ext/aircraft/2658,HELICOPTER,KAWASAKI HEAVY INDUSTRIES	 LTD.,BK117 B2,RotType2,RW - Type 2 Medium,IMN-(BK),ZK-IMN,461,GCH Aviation
2563,https://arena.nafc.org.au/resource/api/ext/aircraft/2563,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,IMT-(500),ZK-IMT,559,Fiordland Helicopters Ltd
2553,https://arena.nafc.org.au/resource/api/ext/aircraft/2553,HELICOPTER,AIRBUS HELICOPTERS,EC 130 T2,RotType3,RW - Type 3 Light,IMW-(EC130),ZK-IMW,438,Glacier Southern Lakes Helicopters
2065,https://arena.nafc.org.au/resource/api/ext/aircraft/2065,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IMY-(B3),ZK-IMY,448,Te Anau Helicopter Services Ltd
2170,https://arena.nafc.org.au/resource/api/ext/aircraft/2170,HELICOPTER,BELL HELICOPTER CO,206L-1,RotType3,RW - Type 3 Light,INH-(LR),ZK-INH,480,Northland Helicopters Limited
2041,https://arena.nafc.org.au/resource/api/ext/aircraft/2041,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B3E,RotType3,RW - Type 3 Light,INT-(B3),ZK-INT,438,Glacier Southern Lakes Helicopters
2120,https://arena.nafc.org.au/resource/api/ext/aircraft/2120,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369E,RotType3,RW - Type 3 Light,INZ-(500),ZK-INZ,463,Amalgamated Helicopters NZ LTD
2509,https://arena.nafc.org.au/resource/api/ext/aircraft/2509,HELICOPTER,EUROCOPTER,EC 120 B,RotType3,RW - Type 3 Light,IOC-(EC120),ZK-IOC,440,Heli Glenorchy/Heliworks Queenstown
2145,https://arena.nafc.org.au/resource/api/ext/aircraft/2145,HELICOPTER,BELL HELICOPTER CO,206B (III),RotType3,RW - Type 3 Light,IOI-(JR),ZK-IOI,469,Helicopters South Canterbury 2015 Limited
2133,https://arena.nafc.org.au/resource/api/ext/aircraft/2133,HELICOPTER,AIRBUS HELICOPTERS INC.,AS350B3,RotType3,RW - Type 3 Light,IOJ-(B3),ZK-IOJ,468,Heli Otago
2790,https://arena.nafc.org.au/resource/api/ext/aircraft/2790,HELICOPTER,EUROCOPTER,AS350B2,RotType3,RW - Type 3 Light,IOP-(B2),ZK-IOP,483,Prosser Heli Ag
2922,https://arena.nafc.org.au/resource/api/ext/aircraft/2922,HELICOPTER,AIRBUS HELICOPTERS,AS 350 B2,RotType3,RW - Type 3 Light,IOP-(B2),ZK-IOP,444,Way to Go Heliservices
2130,https://arena.nafc.org.au/resource/api/ext/aircraft/2130,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IOR-(BA),ZK-IOR,467,Helicopters Nelson Limited
2187,https://arena.nafc.org.au/resource/api/ext/aircraft/2187,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IOX-(B3),ZK-IOX,488,Rotor Force NZ Limited
2159,https://arena.nafc.org.au/resource/api/ext/aircraft/2159,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IPE-(B2),ZK-IPE,475,Independent Helicopters
2554,https://arena.nafc.org.au/resource/api/ext/aircraft/2554,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,IPG-(B2),ZK-IPG,564,Backcountry Helicopters
2519,https://arena.nafc.org.au/resource/api/ext/aircraft/2519,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,369D,RotType3,RW - Type 3 Light,IPH-(500),ZK-IPH,446,Country Helicopters Limited
2375,https://arena.nafc.org.au/resource/api/ext/aircraft/2375,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,IPR-(520N),ZK-IPR,552,Opotiki Helicopters
2108,https://arena.nafc.org.au/resource/api/ext/aircraft/2108,HELICOPTER,EUROCOPTER,EC 120 B,RotType3,RW - Type 3 Light,IQT-(EC120),ZK-IQT,461,GCH Aviation
2047,https://arena.nafc.org.au/resource/api/ext/aircraft/2047,HELICOPTER,HUGHES HELICOPTERS,369D,RotType3,RW - Type 3 Light,IRA-(500),ZK-IRA,439,Precision Helicopters	 PHL
2046,https://arena.nafc.org.au/resource/api/ext/aircraft/2046,HELICOPTER,BELL HELICOPTER CO,206B,RotType3,RW - Type 3 Light,IRC-(JR),ZK-IRC,439,Precision Helicopters	 PHL
2122,https://arena.nafc.org.au/resource/api/ext/aircraft/2122,HELICOPTER,EUROCOPTER,AS 350 BA,RotType3,RW - Type 3 Light,IRE-(BA),ZK-IRE,464,Heli Ag Limited
2205,https://arena.nafc.org.au/resource/api/ext/aircraft/2205,HELICOPTER,EUROCOPTER,AS 350 B3,RotType3,RW - Type 3 Light,IRM-(B3),ZK-IRM,494,Southern Lakes Helicopters Limited
2031,https://arena.nafc.org.au/resource/api/ext/aircraft/2031,HELICOPTER,MCDONNELL DOUGLAS HELICOPTER COMPANY,520N,RotType3,RW - Type 3 Light,ISO-(520N),ZK-ISO,436,Coast to Coast Helicopters 2013 Ltd
2241,https://arena.nafc.org.au/resource/api/ext/aircraft/2241,HELICOPTER,AGUSTA AEROSPACE CORPORATION,A119,RotType3,RW - Type 3 Light,ISR-(A119),ZK-ISR,374,Kahu NZ
2860,https://arena.nafc.org.au/resource/api/ext/aircraft/2860,HELICOPTER,AGUSTA AEROSPACE CORPORATION,A119,RotType3,RW - Type 3 Light,ISR-(A119),ZK-ISR,552,Opotiki Helicopters
2873,https://arena.nafc.org.au/resource/api/ext/aircraft/2873,HELICOPTER,BELL HELICOPTER TEXTRON,206B,RotType3,RW - Type 3 Light,ISW-(JR),ZK-ISW,576,Marlborough Helicopters
2160,https://arena.nafc.org.au/resource/api/ext/aircraft/2160,HELICOPTER,EUROCOPTER,AS.350B3,RotType3,RW - Type 3 Light,ITD-(B3),ZK-ITD,476,Lister Helicopters Limited
2124,https://arena.nafc.org.au/resource/api/ext/aircraft/2124,HELICOPTER,KAWASAKI HEAVY INDUSTRIES,BK117 B-2,RotType2,RW - Type 2 Medium,ITG-(BK),ZK-ITG,466,Helicopters Hawkes Bay
2173,https://arena.nafc.org.au/resource/api/ext/aircraft/2173,HELICOPTER,EUROCOPTER,AS 350 B2,RotType3,RW - Type 3 Light,ITJ-(B2),ZK-ITJ,482,Precision Helicopters NZ Limited
