id,entityID,url,jurisdiction,name,note,lat,long,locality,managingOrganisation,contactName,contactNumber,classification,status,lastReview,adviceToPilots,hasAirfield,hasHelipad,basePhoneNumber
-645,40270,https://arena.nafc.org.au/register/api/locations/-645,NSW,Young,null,-33.4880,150.1563,null,null,null,null,null,Unknown,null,null,null,null,null
-644,40269,https://arena.nafc.org.au/register/api/locations/-644,NSW,YORKLEA FCC,null,-28.9447,153.0530,null,null,null,null,null,Unknown,null,null,null,null,null
-643,40268,https://arena.nafc.org.au/register/api/locations/-643,NSW,YERRIYONG,null,-34.9942,150.4858,null,null,null,null,null,Unknown,null,null,null,null,null
-640,40266,https://arena.nafc.org.au/register/api/locations/-640,NSW,YEOVAL,null,-32.7525,148.6455,null,null,null,null,null,Unknown,null,null,null,null,null
-638,40265,https://arena.nafc.org.au/register/api/locations/-638,NSW,YASS AIRBASE,null,-34.8545,148.9092,null,null,null,null,null,Unknown,null,null,null,null,null
-637,40264,https://arena.nafc.org.au/register/api/locations/-637,NSW,Yarrowlumla FCC,null,-35.3483,149.7625,null,null,null,null,null,Unknown,null,null,null,null,null
-636,40263,https://arena.nafc.org.au/register/api/locations/-636,NSW,Yarrongabilly Helibase,null,-35.7383,148.5107,null,null,null,null,null,Unknown,null,null,null,null,null
-635,40262,https://arena.nafc.org.au/register/api/locations/-635,NSW,Yarrangobilly Village,null,-35.8342,147.2472,null,null,null,null,null,Unknown,null,null,null,null,null
-634,40261,https://arena.nafc.org.au/register/api/locations/-634,NSW,YARRANGOBILLY,null,-35.6500,148.4667,null,null,null,null,null,Unknown,null,null,null,null,null
-633,40260,https://arena.nafc.org.au/register/api/locations/-633,NSW,WYONG FIRE CONTROL CENTRE,null,-33.2350,151.4875,null,null,null,null,null,Unknown,null,null,null,null,null
-632,40259,https://arena.nafc.org.au/register/api/locations/-632,NSW,WYONG FCC,null,-33.2348,151.4930,null,null,null,null,null,Unknown,null,null,null,null,null
-631,40258,https://arena.nafc.org.au/register/api/locations/-631,NSW,WYONG,null,-33.2777,151.4178,null,null,null,null,null,Unknown,null,null,null,null,null
